neighbourhood,neighbourhood_group
el Raval,Ciutat Vella
el Barri Gòtic,Ciutat Vella
la Dreta de l'Eixample,Eixample
l'Antiga Esquerra de l'Eixample,Eixample
la Nova Esquerra de l'Eixample,Eixample
la Barceloneta,Ciutat Vella
"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella
el Fort Pienc,Eixample
la Sagrada Família,Eixample
Sant Antoni,Eixample
el Poble Sec,Sants-Montjuïc
la Marina de Port,Sants-Montjuïc
el Clot,Sant Martí
la Marina del Prat Vermell,Sants-Montjuïc
la Font de la Guatlla,Sants-Montjuïc
Hostafrancs,Sants-Montjuïc
la Bordeta,Sants-Montjuïc
Sants - Badal,Sants-Montjuïc
Sants,Sants-Montjuïc
les Corts,Les Corts
la Maternitat i Sant Ramon,Les Corts
el Baix Guinardó,Horta-Guinardó
Pedralbes,Les Corts
"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi
Sarrià,Sarrià-Sant Gervasi
el Parc i la Llacuna del Poblenou,Sant Martí
les Tres Torres,Sarrià-Sant Gervasi
Sant Gervasi - Galvany,Sarrià-Sant Gervasi
la Salut,Gràcia
Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi
la Vila Olímpica del Poblenou,Sant Martí
el Putxet i el Farró,Sarrià-Sant Gervasi
el Coll,Gràcia
Vallcarca i els Penitents,Gràcia
la Vila de Gràcia,Gràcia
el Camp d'en Grassot i Gràcia Nova,Gràcia
Can Baró,Horta-Guinardó
el Guinardó,Horta-Guinardó
Can Peguera,Nou Barris
la Font d'en Fargues,Horta-Guinardó
la Teixonera,Horta-Guinardó
Sant Genís dels Agudells,Horta-Guinardó
Montbau,Horta-Guinardó
Baró de Viver,Sant Andreu
el Carmel,Horta-Guinardó
la Vall d'Hebron,Horta-Guinardó
Vilapicina i la Torre Llobeta,Nou Barris
Porta,Nou Barris
la Clota,Horta-Guinardó
el Turó de la Peira,Nou Barris
el Poblenou,Sant Martí
Horta,Horta-Guinardó
la Guineueta,Nou Barris
Canyelles,Nou Barris
les Roquetes,Nou Barris
Verdun,Nou Barris
la Prosperitat,Nou Barris
el Bon Pastor,Sant Andreu
la Trinitat Nova,Nou Barris
Torre Baró,Nou Barris
Ciutat Meridiana,Nou Barris
Vallbona,Nou Barris
la Trinitat Vella,Sant Andreu
Sant Andreu,Sant Andreu
la Sagrera,Sant Andreu
el Congrés i els Indians,Sant Andreu
Navas,Sant Andreu
el Camp de l'Arpa del Clot,Sant Martí
Diagonal Mar i el Front Marítim del Poblenou,Sant Martí
el Besòs i el Maresme,Sant Martí
Provençals del Poblenou,Sant Martí
Sant Martí de Provençals,Sant Martí
la Verneda i la Pau,Sant Martí
"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi
"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi